feature,importance,feature_type
SLC8A1,0.33788144696576217,RNA
LYN,0.2824907836833697,RNA
BANK1,0.11671033828574384,RNA
THEMIS,0.04673895493354679,RNA
NKG7,0.04466850691182745,RNA
BCL11B,0.022552889315836218,RNA
LRMDA,0.012222541521074277,RNA
PLXDC2,0.010359926801142757,RNA
ITK,0.0077773593552616805,RNA
JCHAIN,0.007538006626007744,RNA
VCAN.AS1,0.006222299363288093,RNA
CST7,0.005181642044257814,RNA
chr2.85434620.85438905,0.0051785198438222355,ATAC
chr17.2040988.2043012,0.004968088352499567,ATAC
C1orf21,0.004936552437088279,RNA
TRAC,0.004428016798636439,RNA
AIF1,0.004226636213912299,RNA
NIBAN3,0.003924710723879563,RNA
LEF1,0.003426242684962233,RNA
chr6.37168901.37172986,0.0034015608472092815,ATAC
